source,slug,status,severity,score,summary,issues
static,morning-breakfast,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-coffee,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-commute,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-energy,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-mood,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-outfit,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-phone,,P2,70,cards=13; paragraphs=19; faq=true,P2 static metadata missing | P2 English section title remains | P2 console logging in result page
static,morning-rush,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,morning-shower,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,movie-theater-style,,P2,70,cards=10; paragraphs=9; faq=true,P2 static metadata missing | P2 console logging in result page
static,music-taste,,P2,70,cards=10; paragraphs=9; faq=true,P2 static metadata missing | P2 console logging in result page
static,noodle-eating,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,ntrp-test,,P2,70,cards=15; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,online-food,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,ott-habits,,P2,70,cards=11; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,pet-mbti,,P2,70,cards=14; paragraphs=14; faq=true,P2 English section title remains | P2 console logging in result page
static,phone-app-organization,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-backup,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-battery,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-message,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-notification,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-payment,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-photo,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-search,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-social-media,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-storage,,P2,70,cards=11; paragraphs=18; faq=true,P2 static metadata missing | P2 console logging in result page
static,phone-style,,Pass,90,cards=9; paragraphs=12; faq=true,
static,phone-usage,,P2,70,cards=15; paragraphs=19; faq=true,P2 English section title remains
static,pizza-topping,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,ramen-mbti,,P2,70,cards=13; paragraphs=14; faq=true,P2 English section title remains | P2 console logging in result page
static,restaurant-ambiance,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,restaurant-choice,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
static,restaurant-menu,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,restaurant-price,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,restaurant-reservation,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,restaurant-service,,P2,70,cards=10; paragraphs=12; faq=true,P2 static metadata missing | P2 console logging in result page
static,rice-eating,,P2,70,cards=12; paragraphs=13; faq=true,P2 static metadata missing | P2 console logging in result page
